,New_ID,genre_ids,ID_Filme,original_language,popularity,release_date,title,vote_count,ano,imdb_id,revenue,runtime,actors_popularity,directors_popularity,type,contentRating,imDbRating,metacriticRating,awards
12467329,8035,[],890277,en,0.6000000000000001,1993-04-30,Heritage Minutes: Maple Leaf Gardens,0,1993,,0.0,1.0,,,,,,,
12468629,8036,[],890274,en,0.6000000000000001,1993-04-30,Heritage Minutes: Nitro,0,1993,,0.0,1.0,4.0,,,,,,
12477729,8037,[],890271,en,0.6000000000000001,1993-04-30,Heritage Minutes: Étienne Parent,0,1993,,0.0,1.0,4.0,,,,,,
12482929,8038,[],890267,en,0.6000000000000001,1993-04-30,Heritage Minutes: Louis Riel,0,1993,,0.0,1.0,6.0,,,,,,
12484229,8039,[],890265,en,0.6000000000000001,1993-04-30,Les Voltigueurs de Quebec,0,1993,,0.0,1.0,0.0,,,,,,
12485529,8040,[],890264,en,0.6000000000000001,1993-04-30,Heritage Minutes: Marconi,0,1993,,0.0,1.0,0.0,,,,,,
12495929,8041,[],890261,en,0.6000000000000001,1993-04-30,Heritage Minutes: Marshall McLuhan,0,1993,,0.0,1.0,4.0,,,,,,
12503729,8042,[],890256,en,0.6000000000000001,1993-04-30,Heritage Minutes: Laura Secord,0,1993,,0.0,1.0,21.0,,,,,,
12515429,8043,[],890046,en,0.6000000000000001,1993-10-01,The Fall of the Idols,0,1993,,0.0,18.0,,,,,,,
12516729,8044,[],889853,es,0.6000000000000001,1993-01-01,Los Atletas de la Risa Volver al Paseo Ahumada 3,0,1993,,0.0,0.0,,,,,,,
12518029,8045,[28],888948,fi,0.6000000000000001,1993-01-01,Tina - Hän ei pelkää hän tappaa vain kostaakseen,0,1993,,0.0,0.0,0.0,,,,,,
12521929,8046,[],888848,en,0.6000000000000001,1993-10-01,"Home, Forever and Ever",0,1993,,0.0,1.0,,,,,,,
12523229,8047,[],888847,hi,0.6000000000000001,1993-01-01,Bulund,0,1993,tt6405220,0.0,0.0,6.0,,Movie,,5.1,,
12523230,8048,[18],888105,ta,0.6000000000000001,1993-06-18,Munarivippu,0,1993,,0.0,103.0,6.0,,,,,,
12528430,8049,[],888103,hi,0.6000000000000001,1993-09-17,15th August,0,1993,tt0389715,0.0,0.0,,,Movie,,5.8,,
12528432,8050,[],888093,es,0.849,1993-01-01,Hasta Que El Cuerpo Aguante,0,1993,,0.0,53.0,0.0,,,,,,
12533632,8051,[],888092,hi,0.6000000000000001,1993-08-01,Police Wala,0,1993,tt0363896,0.0,0.0,,,Movie,Not Rated,4.3,,
12533634,8052,[],887635,he,0.6000000000000001,1993-03-03,August Snow,0,1993,tt0143876,0.0,0.0,,,Movie,,6.3,,"Awards, 2 nominations"
12533636,8053,[],887073,hu,0.84,1993-01-01,Istenszerelem,0,1993,tt5346238,0.0,0.0,,,Movie,,,,
12533637,8054,[99],886585,de,0.6000000000000001,1993-01-01,An Erotic Concert,0,1993,,0.0,43.0,,,,,,,
12534937,8055,[878],886090,de,0.6000000000000001,1993-01-01,Moskito III - Kampf der Mächte,0,1993,,0.0,32.0,0.0,0.0,,,,,
12551837,8056,[],886082,hi,0.6000000000000001,1993-01-01,Pyar Pyar,0,1993,tt1068660,0.0,0.0,,,Movie,,5.1,,
12551839,8057,[35],886016,de,0.6000000000000001,1993-01-01,Die starke Hand der Götter - Germanen II,0,1993,,0.0,61.0,0.0,0.0,,,,,
12611639,8058,[35],886008,de,0.6000000000000001,1993-01-01,Die Germanen und die Tochter des Cäsar,0,1993,,0.0,34.0,0.0,0.0,,,,,
12631139,8059,[],885900,en,0.6000000000000001,1993-01-01,Stelle di Cartone,0,1993,tt0108222,0.0,0.0,3.0,,Movie,,,,
12631153,8060,[10402],885083,en,0.6000000000000001,1993-04-01,Marc Almond: 12 Years of Tears - Live at Royal Albert Hall,0,1993,,0.0,117.0,1.0,,,,,,
12632453,8061,[],884360,en,0.6000000000000001,1993-08-09,"FORGIVEN: The Charles ""Tex"" Watson Story",0,1993,,0.0,37.0,2.0,,,,,,
12636353,8062,[],883776,en,0.6000000000000001,1993-11-05,Gay Rights / Special Rights,1,1993,tt7721422,0.0,48.0,,,,,,,
12636354,8063,[],882801,ja,0.6000000000000001,1993-01-01,"Time of Crows, Voice of Iron",0,1993,,0.0,21.0,,,,,,,
12637654,8064,[],882152,ja,0.6000000000000001,1993-01-01,Room 205,0,1993,,0.0,19.0,,,,,,,
12638954,8065,[],882147,ja,0.6000000000000001,1993-01-01,Flesh,0,1993,,0.0,6.0,,,,,,,
12640254,8066,[18],882028,ta,0.6000000000000001,1993-12-03,Purusha Lakshanam,0,1993,tt12392844,0.0,147.0,14.0,1.0,Movie,,5.4,,
12640284,8067,[18],882017,ta,0.6000000000000001,1993-02-25,Suriyan Chandiran,0,1993,tt10133506,0.0,200.0,10.0,1.0,Movie,Not Rated,,,
12640306,8068,[],881795,en,0.6000000000000001,1993-04-30,Heritage Minutes: Sir Sandford Fleming,0,1993,,0.0,1.0,7.0,,,,,,
12652006,8069,[16],881389,en,0.6000000000000001,1993-01-01,Bala II,0,1993,,0.0,10.0,0.0,,,,,,
12659806,8070,[16],880944,en,0.6000000000000001,1993-01-01,On the Weave of Construction,0,1993,,0.0,6.0,,,,,,,
12661106,8071,[16],880846,en,0.6000000000000001,1993-01-01,Ingrid's Song,0,1993,,0.0,4.0,,,,,,,
12662406,8072,"[18, 80]",879035,en,0.661,1993-07-29,Maricris Sioson Japayuki,1,1993,tt0383493,0.0,102.0,9.0,,Movie,TV-MA,6.4,,"Awards, 1 nomination"
12662444,8073,[],878915,en,0.6000000000000001,1993-09-11,Flirt,0,1993,tt0106929,0.0,23.0,82.0,,Movie,,7,,
12662474,8074,"[10749, 80]",878373,en,0.626,1993-07-16,Seven Virgins,0,1993,tt0108043,0.0,120.0,5.0,,Movie,,7.8,,
12662490,8075,"[16, 35]",877970,en,0.6000000000000001,1993-06-01,Psyched for Snuppa,0,1993,tt0480452,0.0,6.0,,,Movie,,6.5,,"Awards, 1 win"
12662492,8076,[],876719,it,0.6000000000000001,1993-09-03,Il giorno di San Sebastiano,0,1993,tt0161613,0.0,0.0,0.0,,Movie,,,,"Awards, 1 nomination"
12662498,8077,[],876405,ka,0.6000000000000001,1993-01-01,The Fallen Angel,0,1993,,0.0,0.0,5.0,,,,,,
12670298,8078,[99],875637,en,0.6000000000000001,1993-01-01,Stolen Ground,0,1993,,0.0,43.0,0.0,0.0,,,,,
12676798,8079,[],875588,fr,0.6000000000000001,1993-01-01,Par delà l'ère glacière,0,1993,tt1256586,0.0,0.0,0.0,,Movie,,,,
12676800,8080,[35],875471,en,0.6000000000000001,1993-06-16,Kapag May Gusot... Walang Lusot,0,1993,tt0486844,0.0,120.0,5.0,0.0,Movie,,,,
12676826,8081,"[99, 36]",874967,en,0.6000000000000001,1993-03-01,Going Back to T-Town,0,1993,tt1406201,0.0,53.0,3.0,,TVEpisode,,7.9,,
12676828,8082,[18],874663,es,0.6000000000000001,1993-01-01,Hombre que no escucha boleros,0,1993,tt0107129,0.0,0.0,0.0,,Movie,,,,
12676830,8083,[],874315,en,0.6000000000000001,1993-07-01,Metallican Vid,0,1993,,0.0,15.0,11.0,,,,,,
12682030,8084,[],873525,fr,0.6000000000000001,1993-01-01,Tailleur pour Dames,0,1993,,0.0,0.0,15.0,,,,,,
12689830,8085,[],873519,en,0.6000000000000001,1993-01-07,Johnny Tiñoso and the Proud Beauty,0,1993,,0.0,0.0,6.0,,,,,,
12701530,8086,[35],873502,tl,0.6000000000000001,1993-01-27,Teacher... Teacher I Love You,0,1993,tt5133110,0.0,120.0,13.0,,Movie,,,,
12701543,8087,[99],872390,en,0.6000000000000001,1993-01-01,"Krakers: A Chair, a Table and a Bed",0,1993,,0.0,52.0,,,,,,,
12702843,8088,[28],872318,zh,0.6000000000000001,1993-09-25,赌王出山,0,1993,tt0341126,0.0,0.0,,,Movie,,,,
12702845,8089,[99],872037,ru,0.6000000000000001,1993-09-10,Man Who Put Idea In,0,1993,,0.0,30.0,,,,,,,
12704145,8090,[],871737,en,0.6000000000000001,1993-01-01,Diary in Exile,0,1993,,0.0,55.0,,,,,,,
12705445,8091,[16],871463,es,0.6000000000000001,1993-01-01,Rarámuri pie ligero,0,1993,tt0441450,0.0,0.0,,,Movie,,,,
12705447,8092,[16],870483,gl,0.6000000000000001,1993-01-01,Carne viva,0,1993,,0.0,5.0,,,,,,,
12706747,8093,[18],870158,en,0.6000000000000001,1993-01-01,Entre l'absence et l'oubli,0,1993,tt4815080,0.0,20.0,0.0,,Movie,,,,"Awards, 1 win"
12706748,8094,[],869969,ja,0.6000000000000001,1993-02-04,Rescue Plaza,0,1993,,0.0,17.0,0.0,,,,,,
12711948,8095,[],869425,en,0.6000000000000001,1993-01-01,Chut...,0,1993,,0.0,7.0,,,,,,,
12713248,8096,"[28, 53]",869266,kn,0.6000000000000001,1993-01-01,Nishkarsha,0,1993,tt0355831,0.0,146.0,4.0,,Movie,Not Rated,8.1,,
12713268,8097,[35],869265,sv,0.6000000000000001,1993-01-09,Ojdå - en till..?,0,1993,tt11676636,0.0,119.0,6.0,,Movie,,7.2,,
12713290,8098,[18],866592,te,0.6000000000000001,1993-04-09,Rendilla Poojari,0,1993,tt8821662,0.0,128.0,9.0,,,,,,
12713295,8099,[16],866342,uk,0.6000000000000001,1993-01-01,etc.,0,1993,,0.0,0.0,,,,,,,
12714595,8100,[10749],865777,ja,0.6000000000000001,1993-01-01,Wild Geese,0,1993,,0.0,86.0,4.0,,,,,,
12715895,8101,[99],865606,lv,0.6000000000000001,1993-01-01,Gravitācija,0,1993,,0.0,10.0,,,,,,,
12717195,8102,[],865527,en,0.6000000000000001,1993-11-05,Kaise Kaise Rishte,0,1993,tt2655740,0.0,0.0,,,Movie,,5.6,,
12717196,8103,[18],865132,te,0.6000000000000001,1993-06-04,Bava Bavamaridi,0,1993,tt5630308,0.0,126.0,8.0,,Movie,,7.9,,
12717205,8104,[18],864644,ta,0.6000000000000001,1993-07-09,Naan Pesa Ninaipathellam,0,1993,tt10160116,0.0,140.0,6.0,,Movie,,7.5,,
12717225,8105,[],864334,en,0.6000000000000001,1993-01-01,Freebird,0,1993,,0.0,11.0,,,,,,,
12718525,8106,[99],864232,it,0.6000000000000001,1993-01-01,"Palestine, histoire d'une terre",0,1993,,0.0,0.0,,,,,,,
12719825,8107,[],864124,ja,1.34,1993-04-29,Kamingu auto bokura no kappuru sengen,0,1993,,0.0,60.0,,,,,,,
12721125,8108,[],864080,ja,1.37,1993-02-22,Cinema Homo Paradise,1,1993,tt2827090,0.0,60.0,,,Movie,,,,
12721126,8109,[18],864016,sl,1.09,1993-01-01,The Flying Machine,0,1993,tt2096699,0.0,88.0,1.0,,Movie,,,,
12721129,8110,[53],861974,en,0.6980000000000001,1993-12-12,Madame,1,1993,tt0145059,0.0,85.0,10.0,,Movie,R,3.8,,
12721141,8111,[27],861883,de,0.6000000000000001,1993-01-01,Carol,0,1993,,0.0,0.0,0.0,,,,,,
12726341,8112,[],861840,ja,0.6000000000000001,1993-06-16,Wild and erotic Madam,1,1993,tt2123900,0.0,61.0,4.0,,Movie,,,,
12726344,8113,[99],861797,sv,0.6000000000000001,1993-01-19,Fritagen och trollbunden,0,1993,tt15236614,0.0,54.0,0.0,,Movie,,,,
12726354,8114,[],861348,ja,0.6000000000000001,1993-01-01,Ecosystem 9 ~ Quicksand,0,1993,,0.0,13.0,,,,,,,
12727654,8115,[],860812,en,0.6000000000000001,1993-02-16,Hutterites: To Care and Not to Care,0,1993,,0.0,59.0,,,,,,,
12728954,8116,"[27, 9648, 53]",860488,ru,0.6000000000000001,1993-02-01,Full Moon,0,1993,tt0267833,0.0,89.0,2.0,,Movie,,6.3,,
12728972,8117,[],860227,he,0.6000000000000001,1993-01-01,Chaver VeAch,0,1993,tt3213516,0.0,78.0,0.0,,Movie,,4.9,,
12728974,8118,[99],859785,en,0.6000000000000001,1993-01-28,Another Journey By Train,0,1993,,0.0,51.0,0.0,,,,,,
12730274,8119,"[10402, 99]",859748,en,0.6000000000000001,1993-10-05,Ready Steady Go! The Beatles Live,0,1993,tt0180087,0.0,20.0,12.0,,Movie,,8.3,,
12730282,8120,[35],859693,es,1.34,1993-01-01,Distracción Fatal,0,1993,tt0388890,0.0,12.0,0.0,,Movie,,,,
12730302,8121,"[10751, 16, 18]",8587,en,163.018,1994-06-23,The Lion King,15291,1994,tt0110357,763455561.0,89.0,125.0,,Movie,G,8.5,88,Top rated movie #39 | Won 2 Oscars39 wins & 35 nominations total
12730331,8122,"[35, 18, 10749]",13,en,49.439,1994-06-23,Forrest Gump,22703,1994,tt0109830,677387716.0,142.0,234.0,2.0,Movie,PG-13,8.8,82,Top rated movie #12 | Won 6 Oscars50 wins & 75 nominations total
12730408,8123,"[28, 53]",36955,en,24.626,1994-07-15,True Lies,3201,1994,tt0111503,378882411.0,141.0,125.0,,Movie,R,7.2,63,Nominated for 1 Oscar8 wins & 23 nominations total
12730439,8124,"[10749, 35, 80, 14]",854,en,51.948,1994-07-29,The Mask,8394,1994,tt0110475,351583407.0,101.0,128.0,3.0,Movie,PG-13,6.9,56,Nominated for 1 Oscar6 wins & 21 nominations total
12730484,8125,"[28, 12, 80]",1637,en,36.096,1994-06-09,Speed,4894,1994,tt0111257,350448145.0,116.0,210.0,,Movie,R,7.2,78,Won 2 Oscars20 wins & 20 nominations total
12730544,8126,"[14, 35, 10751]",888,en,44.684,1994-05-26,The Flintstones,1985,1994,tt0109813,341631208.0,91.0,136.0,16.0,Movie,PG,4.9,38,6 wins & 10 nominations
12730584,8127,[35],8467,en,34.889,1994-12-16,Dumb and Dumber,5027,1994,tt0109686,247275374.0,107.0,142.0,,Movie,PG-13,7.3,41,5 wins & 3 nominations
12730665,8128,"[35, 18, 10749]",712,en,14.422,1994-03-09,Four Weddings and a Funeral,2123,1994,tt0109831,245700832.0,117.0,173.0,,Movie,R,7.1,81,Nominated for 2 Oscars24 wins & 28 nominations total
12730713,8129,"[27, 18, 14]",628,en,27.411,1994-11-11,Interview with the Vampire,4662,1994,tt0110148,223664608.0,123.0,218.0,,Movie,R,7.5,59,Nominated for 2 Oscars24 wins & 36 nominations total
12730732,8130,"[28, 18, 53]",9331,en,11.72,1994-08-03,Clear and Present Danger,1130,1994,tt0109444,215887717.0,141.0,293.0,,Movie,PG-13,6.9,74,Nominated for 2 Oscars3 wins & 11 nominations total
12730778,8131,"[53, 80]",680,en,57.087,1994-09-10,Pulp Fiction,23132,1994,tt0110912,214179088.0,154.0,307.0,16.0,Movie,R,8.9,94,Top rated movie #8 | Won 1 Oscar70 wins & 75 nominations total
12730832,8132,"[53, 18, 80]",8984,en,20.046,1994-03-10,Disclosure,931,1994,tt0109635,214015089.0,123.0,73.0,,Movie,R,6.1,58,2 wins & 2 nominations
12730844,8133,"[28, 12, 878]",2164,en,22.892,1994-10-27,Stargate,2671,1994,tt0111282,196567262.0,121.0,185.0,,Movie,PG-13,7.1,42,6 wins & 6 nominations
12730885,8134,"[14, 18, 35, 10751]",11395,en,14.703,1994-11-11,The Santa Clause,1575,1994,tt0111070,189833357.0,97.0,141.0,4.0,Movie,PG,6.5,57,2 wins & 8 nominations
12730947,8135,"[28, 12, 35, 18, 37]",9359,en,13.48,1994-05-20,Maverick,1216,1994,tt0110478,183031272.0,127.0,233.0,3.0,Movie,PG,7,62,Nominated for 1 Oscar1 win & 2 nominations total
12731007,8136,"[28, 53]",2636,en,27.493,1994-10-07,The Specialist,1002,1994,tt0111255,170362582.0,110.0,99.0,0.0,Movie,R,5.6,,4 wins & 7 nominations
12731055,8137,"[12, 18, 10749, 10752, 37]",4476,en,21.613,1994-12-16,Legends of the Fall,2020,1994,tt0110322,160638883.0,133.0,174.0,,Movie,R,7.5,45,Won 1 Oscar3 wins & 12 nominations total
12731081,8138,"[14, 18, 27]",10395,en,9.735,1994-06-17,Wolf,700,1994,tt0111742,131002597.0,125.0,227.0,0.0,Movie,R,6.2,,2 wins & 10 nominations
12731128,8139,"[878, 28, 12, 53]",193,en,9.431,1994-11-18,Star Trek: Generations,1019,1994,tt0111280,120000000.0,118.0,184.0,,Movie,PG,6.6,55,2 wins & 4 nominations
12731157,8140,"[28, 35, 80]",306,en,16.509,1994-05-24,Beverly Hills Cop III,1372,1994,tt0109254,119208989.0,105.0,157.0,25.0,Movie,R,5.6,16,3 nominations
12731255,8141,"[18, 53, 80, 9648]",10731,en,11.339,1994-07-20,The Client,860,1994,tt0109446,117615211.0,119.0,236.0,,Movie,PG-13,6.8,65,Nominated for 1 Oscar3 wins & 4 nominations total
12731321,8142,"[18, 27, 878, 10749]",3036,en,22.87,1994-11-04,Mary Shelley's Frankenstein,975,1994,tt0109836,112006296.0,123.0,189.0,,Movie,R,6.4,49,Nominated for 1 Oscar20 nominations total
12731376,8143,"[35, 10751, 10749]",6280,en,15.497,1994-11-22,Junior,1167,1994,tt0110216,108431355.0,109.0,208.0,,Movie,PG-13,4.7,59,Nominated for 1 Oscar5 nominations total
12731451,8144,"[35, 12]",3049,en,27.561,1994-02-04,Ace Ventura: Pet Detective,4718,1994,tt0109040,107217396.0,86.0,158.0,,Movie,PG-13,6.9,37,5 wins & 5 nominations
12731481,8145,"[18, 53]",1945,en,8.871,1994-12-23,Nell,392,1994,tt0110638,106683817.0,112.0,74.0,,Movie,PG-13,6.5,60,Nominated for 1 Oscar5 wins & 7 nominations total
12731507,8146,"[53, 878, 28, 80]",8831,en,11.911,1994-09-15,Timecop,888,1994,tt0111438,101646581.0,99.0,142.0,,Movie,R,5.9,48,1 win & 4 nominations
12731556,8147,"[28, 12, 53, 18, 878]",11667,en,21.419,1994-12-23,Street Fighter,1148,1994,tt0111301,99423521.0,102.0,130.0,,Movie,PG-13,4,34,2 nominations
12731575,8148,"[12, 28, 80, 53]",8987,en,10.611,1994-09-30,The River Wild,684,1994,tt0110997,94216343.0,111.0,70.0,,Movie,PG-13,6.4,63,4 nominations
12731586,8149,"[14, 28, 53]",9495,en,30.654,1994-05-11,The Crow,3094,1994,tt0109506,94000000.0,102.0,119.0,7.0,Movie,R,7.6,71,5 wins & 7 nominations
12731616,8150,"[10749, 18, 35]",1909,en,14.507,1994-10-12,Don Juan DeMarco,599,1994,tt0112883,68792531.0,97.0,157.0,2.0,Movie,PG-13,6.7,63,Nominated for 1 Oscar4 wins & 5 nominations total
12731631,8151,"[10749, 35, 10751]",10897,en,28.235,1994-08-05,The Little Rascals,955,1994,tt0110366,67308282.0,82.0,111.0,,Movie,PG,6.3,45,2 wins
12731659,8152,"[10749, 35]",10879,en,6.172,1994-06-29,I Love Trouble,164,1994,tt0110093,61947267.0,123.0,164.0,5.0,Movie,PG,5.3,,
12731736,8153,"[27, 9648, 14]",11596,en,25.774,1994-10-13,New Nightmare,1044,1994,tt0111686,57000000.0,112.0,108.0,3.0,Movie,R,6.5,64,3 wins & 7 nominations
12731778,8154,"[35, 80]",36593,en,26.576,1994-03-18,Naked Gun 33⅓: The Final Insult,1563,1994,tt0110622,51132598.0,83.0,241.0,3.0,Movie,PG-13,6.5,63,3 wins
12731820,8155,"[80, 53, 18]",241,en,16.35,1994-08-25,Natural Born Killers,2727,1994,tt0110632,50283563.0,118.0,310.0,,Movie,R,7.3,74,5 wins & 11 nominations
12731874,8156,"[35, 18, 10751, 14]",24795,en,8.596,1994-07-15,Angels in the Outfield,342,1994,tt0109127,50236831.0,102.0,172.0,,Movie,PG,6.2,44,1 win & 4 nominations
12731893,8157,"[18, 10749]",9587,en,12.848,1994-12-21,Little Women,988,1994,tt0110367,50083616.0,115.0,200.0,,Movie,PG,7.3,87,Nominated for 3 Oscars7 wins & 20 nominations total
12731907,8158,"[18, 10749]",10449,en,12.247,1994-04-29,When a Man Loves a Woman,263,1994,tt0111693,50021959.0,126.0,148.0,5.0,Movie,R,6.6,,4 nominations
12731947,8159,"[28, 53]",9624,en,11.3,1994-02-18,On Deadly Ground,324,1994,tt0110725,49000000.0,102.0,135.0,1.0,Movie,R,4.6,33,1 win & 6 nominations
12731970,8160,"[35, 18]",12280,en,7.111,1994-03-18,The Paper,137,1994,tt0110771,48400000.0,112.0,210.0,,Movie,R,6.7,70,Nominated for 1 Oscar1 nomination total
12732051,8161,"[12, 14, 28, 53, 878]",8850,en,11.162,1994-07-01,The Shadow,400,1994,tt0111143,48063435.0,108.0,214.0,,Movie,PG-13,6.1,50,4 nominations
12732093,8162,"[14, 18, 10751]",10510,en,13.584,1994-11-18,Miracle on 34th Street,806,1994,tt0110527,46264384.0,114.0,145.0,,Movie,PG,6.6,,1 nomination
12732128,8163,"[35, 28, 10751, 18]",11164,en,13.819,1994-03-25,D2: The Mighty Ducks,465,1994,tt0109520,45610410.0,106.0,119.0,,Movie,PG,6.1,,
12732161,8164,"[80, 18, 28]",101,en,49.606,1994-09-14,Léon: The Professional,12072,1994,tt0110413,45284974.0,111.0,179.0,,Movie,R,8.5,64,Top rated movie #32 | 6 wins & 15 nominations
12732215,8165,"[35, 10751]",11011,en,21.419,1994-12-19,Ri¢hie Ri¢h,1849,1994,tt0110989,38087756.0,95.0,116.0,,Movie,PG,5.4,49,2 nominations
12732240,8166,"[35, 18, 10749]",10660,en,13.156,1994-07-29,It Could Happen to You,552,1994,tt0110167,37939757.0,101.0,149.0,,Movie,PG,6.4,64,
12732288,8167,"[14, 28]",8011,en,11.28,1994-11-29,Highlander III: The Sorcerer,364,1994,tt0110027,36800000.0,99.0,71.0,,Movie,PG-13,4.5,28,1 nomination
12732327,8168,[35],11067,en,8.425,1994-03-30,Major League II,245,1994,tt0110442,30626182.0,105.0,114.0,,Movie,PG,5.6,,1 win & 1 nomination
12732353,8169,"[53, 28, 80, 18]",178,en,10.856,1994-07-01,Blown Away,404,1994,tt0109303,30156002.0,121.0,126.0,,Movie,R,6.3,,2 nominations
12732376,8170,"[18, 28, 53, 9648]",2087,en,12.027,1994-02-11,The Getaway,247,1994,tt0109890,30057974.0,115.0,121.0,,Movie,R,5.8,51,3 nominations
12732411,8171,"[35, 80]",26352,en,10.083,1994-11-23,A Low Down Dirty Shame,82,1994,tt0110399,29392418.0,100.0,102.0,,Movie,R,6,,1 nomination
12732453,8172,[35],12475,en,10.183,1994-08-12,In the Army Now,166,1994,tt0110123,28881266.0,91.0,70.0,,Movie,PG,5,,
12732465,8173,"[28, 53]",4954,en,10.418,1994-12-08,Drop Zone,314,1994,tt0109676,28735315.0,101.0,134.0,10.0,Movie,R,5.6,,
12732499,8174,"[18, 80]",278,en,68.699,1994-09-23,The Shawshank Redemption,21409,1994,tt0111161,28341469.0,142.0,242.0,1.0,Movie,R,9.3,80,Top rated movie #1 | Nominated for 7 Oscars21 wins & 43 nominations total
12732560,8175,"[35, 10751]",11317,en,13.839,1994-02-11,My Girl 2,364,1994,tt0110613,28000000.0,99.0,111.0,,Movie,PG,5.3,,1 win & 2 nominations
12732583,8176,"[35, 18]",6472,en,9.694,1994-03-11,Guarding Tess,241,1994,tt0109951,27058304.0,96.0,100.0,,Movie,PG-13,6.2,46,2 nominations
12732599,8177,"[18, 10749]",46387,hi,7.265,1994-08-05,Hum Aapke Hain Koun..!,76,1994,tt0110076,26900000.0,206.0,27.0,,Movie,Not Rated,7.5,,10 wins & 9 nominations
12732614,8178,"[35, 18, 10749]",11777,en,7.854,1994-12-24,I.Q.,331,1994,tt0110099,26381221.0,100.0,79.0,1.0,Movie,PG,6.2,66,
12732625,8179,"[37, 18, 28, 12]",12160,en,14.309,1994-06-24,Wyatt Earp,650,1994,tt0111756,25052000.0,191.0,317.0,,Movie,PG-13,6.7,47,Nominated for 1 Oscar3 wins & 7 nominations total
12732671,8180,"[36, 18, 9648]",11450,en,9.86,1994-08-25,Quiz Show,696,1994,tt0110932,24822619.0,133.0,257.0,19.0,Movie,PG-13,7.5,92,Nominated for 4 Oscars6 wins & 36 nominations total
12732750,8181,[35],11858,en,9.224,1994-06-03,Renaissance Man,236,1994,tt0110971,24332324.0,128.0,146.0,,Movie,PG-13,6.2,44,
12732799,8182,"[18, 10749]",46717,en,10.277,1994-01-21,Intersection,131,1994,tt0110146,21355893.0,98.0,111.0,,Movie,R,5.4,,2 wins
12732850,8183,"[10751, 35]",46094,en,7.641,1994-01-07,The Air Up There,134,1994,tt0109067,21011500.0,107.0,27.0,,Movie,PG,5.5,,
12732863,8184,"[12, 10751]",24767,en,9.229,1994-01-14,Iron Will,218,1994,tt0110157,21006361.0,108.0,80.0,,Movie,PG,6.6,56,
12732908,8185,"[80, 18, 10749]",22067,en,6.591,1994-09-28,Jason's Lyric,30,1994,tt0110186,20851521.0,119.0,93.0,,Movie,R,6.6,,"Awards, 1 nomination"
12732932,8186,"[10749, 35]",15128,en,6.984,1994-12-16,Speechless,74,1994,tt0111256,20667959.0,99.0,138.0,,Movie,PG-13,5.7,,"Awards, 1 nomination"
12732972,8187,"[18, 35, 10749]",2788,en,11.332,1994-02-18,Reality Bites,561,1994,tt0110950,20079850.0,99.0,182.0,,Movie,PG-13,6.6,67,2 nominations
12733003,8188,"[10749, 35]",9058,en,16.59,1994-09-17,Only You,404,1994,tt0110737,20059210.0,115.0,121.0,0.0,Movie,PG,6.5,,
12733033,8189,"[35, 18]",16297,en,8.132,1994-04-29,With Honors,149,1994,tt0111732,20016254.0,103.0,71.0,,Movie,PG-13,6.7,,"Awards, 4 nominations"
12733081,8190,"[28, 12, 878]",39466,ja,8.094,1994-12-10,Godzilla vs. SpaceGodzilla,139,1994,tt0109916,20000000.0,108.0,22.0,,Movie,Not Rated,5.9,,1 nomination
12733096,8191,"[10749, 53, 18]",2124,en,13.971,1994-08-19,Color of Night,441,1994,tt0109456,19726050.0,121.0,128.0,,Movie,R,5.2,36,2 wins & 11 nominations
12733113,8192,"[18, 10749]",43742,en,8.268,1994-10-21,Love Affair,45,1994,tt0110391,18272894.0,108.0,199.0,11.0,Movie,PG-13,6,55,2 nominations
12733169,8193,"[18, 28, 53]",39349,en,7.483,1994-02-25,Sugar Hill,77,1994,tt0107079,18225518.0,123.0,104.0,,Movie,R,5.9,50,
12733203,8194,"[35, 10749]",8986,en,11.902,1994-08-31,Milk Money,210,1994,tt0110516,18137661.0,108.0,83.0,,Movie,PG-13,5.6,,1 nomination
12733221,8195,"[10751, 35, 12, 80]",11212,en,22.046,1994-07-01,Baby's Day Out,1018,1994,tt0109190,16671505.0,99.0,108.0,,Movie,PG,6.2,,
12733262,8196,"[9648, 80, 18, 53]",26203,en,8.385,1994-01-26,Blink,131,1994,tt0109297,16668552.0,106.0,66.0,,Movie,R,6.2,,2 nominations
12733289,8197,"[35, 10751]",41582,en,8.299,1994-03-18,Monkey Trouble,151,1994,tt0110557,16453258.0,96.0,80.0,,Movie,PG,5.3,,
12733304,8198,"[28, 18, 10751, 12]",11231,en,23.935,1994-07-18,The Next Karate Kid,784,1994,tt0110657,15876353.0,107.0,63.0,0.0,Movie,PG,4.5,36,1 win
12733348,8199,"[28, 18, 878, 53]",10447,en,10.001,1994-04-29,No Escape,309,1994,tt0110678,15340000.0,118.0,105.0,,Movie,R,6.1,,1 nomination
12733382,8200,"[10749, 37]",11853,en,12.175,1994-04-22,Bad Girls,175,1994,tt0109198,15240435.0,99.0,121.0,,Movie,R,5.2,,
12733417,8201,"[35, 18, 36]",11318,en,8.418,1994-12-28,The Madness of King George,177,1994,tt0110428,15238994.0,107.0,118.0,2.0,Movie,PG-13,7.2,89,Won 1 Oscar16 wins & 20 nominations total
12733468,8202,"[35, 18, 10749]",236,en,12.14,1994-09-29,Muriel's Wedding,328,1994,tt0110598,15119639.0,106.0,87.0,0.0,Movie,R,7.2,63,Nominated for 1 BAFTA Film Award9 wins & 12 nominations total
