,New_ID,genre_ids,ID_Filme,original_language,popularity,release_date,title,vote_count,ano,imdb_id,revenue,runtime,actors_popularity,directors_popularity,type,contentRating,imDbRating,metacriticRating,awards
1568,33,"[12, 35, 80, 9648, 10749]",49375,en,2.685,1980-06-19,Rough Cut,21,1980,tt0081439,16656125.0,112.0,65.0,,Movie,PG,5.6,58,
1583,34,"[10752, 28, 878]",8738,en,11.963,1980-01-31,The Final Countdown,438,1980,tt0080736,16647800.0,103.0,48.0,2.0,Movie,PG,6.7,51,1 win & 2 nominations
1601,35,"[28, 35, 18]",44004,en,1.453,1980-02-08,Hero at Large,26,1980,tt0080863,15934737.0,98.0,45.0,,Movie,PG,6,,
1617,36,"[37, 80, 28]",14729,en,11.164,1980-05-16,The Long Riders,163,1980,tt0081071,15795189.0,99.0,135.0,5.0,Movie,R,6.9,64,"Awards, 1 win & 1 nomination"
1719,37,"[28, 12, 53, 27, 9648]",7988,en,4.992,1980-06-13,The Island,58,1980,tt0080934,15700000.0,114.0,45.0,,Movie,R,5.3,,2 nominations
1735,38,"[27, 53]",36599,en,16.465,1980-07-18,Prom Night,294,1980,tt0081383,14796236.0,92.0,53.0,,Movie,R,5.4,45,2 nominations
1767,39,[35],33076,en,3.79,1980-06-13,Wholly Moses,25,1980,tt0081751,14155617.0,103.0,78.0,2.0,Movie,PG,4.8,,
1806,40,[18],136914,fr,1.534,1980-01-08,La Femme flic,15,1980,tt0079145,13600000.0,103.0,9.0,,Movie,,6.5,,
1811,41,"[80, 18, 10749]",23954,en,7.868,1980-09-03,Atlantic City,183,1980,tt0080388,12729675.0,104.0,90.0,,Movie,R,7.3,85,"Nominated for 5 Oscars, 25 wins & 22 nominations total"
1859,42,[27],13550,en,9.312,1980-03-28,The Changeling,417,1980,tt0080516,12000000.0,103.0,52.0,,Movie,R,7.2,70,"Awards, 11 wins & 5 nominations"
1933,43,[35],14475,en,12.227,1980-07-11,Used Cars,172,1980,tt0081698,11715321.0,113.0,102.0,0.0,Movie,R,6.7,68,"Awards, 1 nomination"
2015,44,"[35, 10749]",214181,en,2.491,1980-10-24,It's My Turn,21,1980,tt0080936,11000000.0,91.0,75.0,,Movie,R,5.5,,1 nomination
2075,45,"[12, 10751]",35101,en,4.782,1980-06-24,The Last Flight of Noah's Ark,42,1980,tt0081031,11000000.0,97.0,59.0,,Movie,G,5.8,,4 nominations
2088,46,"[878, 28, 12]",14460,en,7.814,1980-09-08,Battle Beyond the Stars,137,1980,tt0080421,11000000.0,104.0,103.0,,Movie,PG,5.5,,"Awards, 1 win & 4 nominations"
2122,47,"[80, 53, 9648]",6028,en,9.503,1980-09-19,The Mirror Crack'd,140,1980,tt0081163,11000000.0,105.0,110.0,,Movie,PG,6.2,,2 nominations
2153,48,"[35, 18, 10749]",11337,en,9.368,1980-09-26,Stardust Memories,315,1980,tt0081554,10389003.0,89.0,106.0,10.0,Movie,PG,7.3,,2 nominations.
2292,49,[36],365455,ja,0.881,1980-01-26,An Ocean to Cross,0,1980,tt0074994,10300000.0,120.0,37.0,,Movie,,6.1,,2 wins & 5 nominations
2322,50,[35],21879,en,4.626,1980-05-18,The Hollywood Knights,39,1980,tt0080881,10000000.0,91.0,72.0,,Movie,R,6.2,,
2346,51,[53],31603,en,3.848,1980-12-19,The Formula,31,1980,tt0080754,8894289.0,117.0,80.0,,Movie,R,5.6,,Nominated for 1 Oscar7 nominations total
2374,52,[18],61389,fr,3.327,1980-10-14,A Bad Son,36,1980,tt0081678,7900000.0,110.0,23.0,,Movie,Not Rated,7.3,,6 nominations
2392,53,"[18, 10752]",16121,en,10.969,1980-01-22,The Big Red One,214,1980,tt0080437,7206220.0,113.0,48.0,3.0,Movie,R,7.1,77,"Awards, 2 wins & 2 nominations"
2442,54,[12],24575,en,21.889,1980-08-01,Raise the Titanic,60,1980,tt0081400,7000000.0,115.0,77.0,,Movie,PG,5.1,,3 nominations
2468,55,[35],11684,fr,6.7940000000000005,1980-12-10,La Cage aux Folles II,90,1980,tt0080489,6950125.0,101.0,12.0,,Movie,R,5.8,,1 nomination
2476,56,"[35, 18, 36]",13005,en,6.946,1980-04-25,Where the Buffalo Roam,121,1980,tt0081748,6659377.0,99.0,77.0,,Movie,R,6.5,,
2516,57,"[35, 10749]",47876,en,2.878,1980-03-21,Little Miss Marker,35,1980,tt0081063,6321392.0,103.0,60.0,,Movie,PG,6.3,,1 nomination
2538,58,"[28, 878, 53]",54287,en,6.807,1980-07-01,Hangar 18,53,1980,tt0080836,6000000.0,97.0,41.0,,Movie,PG,5.4,,
2553,59,[35],16026,sv,6.518,1980-08-22,The Charter Trip,67,1980,tt0081590,5010362.0,107.0,14.0,0.0,Movie,,7.2,,"Awards, 1 nomination"
2597,60,"[14, 27, 53]",21970,en,7.352,1980-04-17,The Watcher in the Woods,104,1980,tt0081738,5000000.0,83.0,57.0,,Movie,PG,6.1,,"Awards, 1 win & 4 nominations"
2623,61,"[35, 878]",33155,en,4.726,1980-06-06,Galaxina,39,1980,tt0080771,4865000.0,95.0,30.0,0.0,Movie,R,3.7,,1 win & 1 nomination
2648,62,"[35, 18, 10749]",92323,en,2.015,1980-08-15,Willie and Phil,5,1980,tt0081758,4400000.0,115.0,89.0,,Movie,R,6.0,,
2694,63,"[18, 53]",32020,en,5.9510000000000005,1980-02-29,Foxes,63,1980,tt0080756,4400000.0,106.0,82.0,,Movie,R,6.1,65,2 nominations
2732,64,"[80, 18, 53]",10889,en,8.683,1980-10-01,Gloria,149,1980,tt0080798,4059673.0,123.0,52.0,,Movie,PG,7.1,68,Nominated for 1 Oscar4 wins & 5 nominations total
2792,65,"[28, 18, 36, 10752]",11953,ja,14.286,1980-04-26,Kagemusha,481,1980,tt0080979,4000000.0,180.0,49.0,,Movie,PG,8,84,Nominated for 2 Oscars20 wins & 5 nominations total
2836,66,"[18, 14]",98864,en,2.933,1980-09-26,Resurrection,26,1980,tt0081414,3910019.0,103.0,73.0,,Movie,PG,7.3,,Nominated for 2 Oscars3 wins & 9 nominations total
2889,67,"[28, 12, 18, 53]",47942,en,6.242,1980-03-28,When Time Ran Out...,43,1980,tt0081747,3763988.0,121.0,113.0,,Movie,PG,4.6,,Nominated for 1 Oscar.
2910,68,"[18, 37]",10935,en,8.534,1980-11-19,Heaven's Gate,249,1980,tt0080855,3484331.0,219.0,247.0,2.0,Movie,R,6.8,57,Nominated for 1 Oscar2 wins & 9 nominations total
2973,69,[28],390253,en,6.407,1980-02-18,North Sea Hijack,71,1980,tt0081809,2993772.0,100.0,58.0,4.0,Movie,PG,6.3,58,1 nomination
3002,70,"[18, 35, 10749]",21028,ru,6.347,1980-02-11,Moscow Does Not Believe in Tears,175,1980,tt0079579,2500000.0,142.0,31.0,1.0,Movie,PG,8.1,,"Won 1 Oscar, 3 wins & 1 nomination total"
3158,71,"[18, 10751, 10749]",80310,sv,2.6630000000000003,1980-12-25,Children's Island,14,1980,tt0080419,2110516.0,118.0,14.0,0.0,Movie,,6.5,,3 wins & 2 nominations
3180,72,"[10751, 16, 35]",31112,en,5.74,1980-05-30,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",67,1980,tt0080461,2013193.0,75.0,2.0,,Movie,G,7.3,,
3190,73,"[35, 10749]",99796,en,1.4,1980-08-15,"Those Lips, Those Eyes",1,1980,tt0081625,804713.0,105.0,47.0,,Movie,R,6.5,,
3204,74,"[28, 35, 14, 27]",15724,cn,5.288,1980-12-24,Encounter of the Spooky Kind,60,1980,tt0080827,731753.0,102.0,67.0,3.0,Movie,R,7,,
3260,75,"[80, 18]",114051,es,5.604,1980-10-06,Navajeros,30,1980,tt0081218,680224.0,95.0,14.0,1.0,Movie,,6.6,,
3292,76,"[12, 35, 14]",28482,es,3.754,1980-05-20,Supersonic Man,19,1980,tt0079971,519204.0,88.0,13.0,,Movie,Not Rated,3.2,,
3310,77,"[18, 35]",184979,tr,4.287,1980-01-01,Banker Bilo,44,1980,tt0263102,243000.0,85.0,3.0,,Movie,,7.6,,
3316,78,"[10752, 28, 53]",19664,en,10.024,1980-07-03,The Sea Wolves,58,1980,tt0081470,220181.0,120.0,89.0,,Movie,PG,6.3,,
3384,79,"[35, 80, 18]",189888,en,1.541,1980-03-31,The Baltimore Bullet,6,1980,tt0080412,215498.0,103.0,66.0,4.0,Movie,PG,6.0,,
3451,80,[18],519673,it,0.6000000000000001,1980-04-23,Armonica a bocca,0,1980,,109533.0,100.0,2.0,,,,,,
7351,81,"[18, 10749]",849568,tr,1.09,1980-04-01,Beddua,0,1980,tt0491911,105000.0,97.0,28.0,0.0,Movie,,3.9,,
7390,82,[],642133,tr,1.123,1980-01-01,Gecenin Katili Ustura,1,1980,tt0492017,100000.0,41.0,1.0,,Movie,,5,,
7398,83,[28],121367,cn,1.4,1980-01-03,The Thundering Mantis,3,1980,tt0087145,25309.0,93.0,14.0,,Movie,,6.7,,
7407,84,"[18, 35]",337434,es,0.6000000000000001,1980-01-01,Cocaína,0,1980,tt0080551,8832.0,0.0,1.0,,Movie,,4.5,,
7417,85,"[28, 35]",19267,en,10.989,1980-09-10,The Big Brawl,133,1980,tt0080436,854.0,95.0,63.0,,Movie,R,5.7,,"Awards, 1 nomination"
7449,86,"[28, 18, 10749]",750314,ml,0.6000000000000001,1980-12-31,Agni Saram,0,1980,tt0332561,139.0,0.0,4.0,,Movie,Not Rated,,,
7454,87,"[28, 80]",216598,pt,0.786,1980-05-19,The Torturer,4,1980,tt0186631,98.0,98.0,10.0,,Movie,,5.8,,
7464,88,"[12, 18, 37]",85548,en,1.8559999999999999,1980-12-12,Windwalker,12,1980,tt0081760,18.0,108.0,26.0,,Movie,PG,7.0,,1 win.
7478,89,[],543448,en,0.6000000000000001,1980-06-01,How to Be a Detective,0,1980,,7.0,,,,,,,,
8778,90,[],977103,fr,0.0,1980-11-09,Strass Café,0,1980,,0.0,0.0,0.0,,,,,,
11378,91,[99],976410,en,0.6000000000000001,1980-01-01,Canada Vignettes: Calliope,0,1980,tt0236056,0.0,2.0,,,Movie,,5.6,,
11380,92,[18],975491,pl,0.6000000000000001,1980-01-01,The Trial,0,1980,tt16678512,0.0,119.0,4.0,,Movie,,,,
11385,93,[10749],975218,th,0.6000000000000001,1980-08-23,Wai Sa Wing,0,1980,,0.0,130.0,1.0,,,,,,
13985,94,[99],975187,et,0.6000000000000001,1980-01-01,Episood,0,1980,tt12030084,0.0,19.0,,,Movie,,,,
13987,95,"[18, 36, 10770]",973919,pl,0.6000000000000001,1980-09-07,"Z biegiem lat, z biegiem dni...",0,1980,tt0175407,0.0,585.0,,,TVSeries,,7.5,,
13989,96,[18],973723,no,0.6000000000000001,1980-09-04,La elva leve!,0,1980,tt0215920,0.0,110.0,3.0,0.0,Movie,,6.3,,
14021,97,[18],973615,no,0.6000000000000001,1980-04-25,Nedtur,0,1980,tt0210861,0.0,90.0,6.0,,Movie,,3.5,,
14063,98,"[18, 10770]",973002,pl,0.6000000000000001,1980-04-06,Kariera Nikodema Dyzmy,0,1980,tt0080986,0.0,367.0,,,TVSeries,,8.4,,
14065,99,[],972594,en,0.6000000000000001,1980-01-01,Shine,0,1980,,0.0,36.0,,,,,,,
15365,100,[],971841,zh,0.6000000000000001,1980-01-01,蓝色档案,0,1980,tt0340205,0.0,0.0,,,Movie,,,,
15367,101,[35],971619,en,1.191,1980-05-24,Hot Young Widows 2,1,1980,,0.0,79.0,38.0,,,,,,
24467,102,[10770],971424,mk,0.6000000000000001,1980-01-01,The Teacher,0,1980,tt0444930,0.0,89.0,13.0,,Movie,,,,
24581,103,[],971353,zh,1.34,1980-01-01,第十个弹孔,0,1980,tt6684978,0.0,0.0,,,Movie,,,,"Awards, 1 win"
24582,104,[],971303,zh,0.6000000000000001,1980-01-01,屠夫状元,0,1980,,0.0,0.0,,,,,,,
25882,105,[],971242,zh,0.6000000000000001,1980-01-01,亲缘,0,1980,tt0339545,0.0,0.0,,,Movie,,,,
25884,106,[],970748,en,0.6000000000000001,1980-09-08,Poor Jenny,0,1980,,0.0,30.0,7.0,,,,,,
33684,107,[],970713,en,0.6000000000000001,1980-09-10,Jack Be Nimble,0,1980,,0.0,30.0,4.0,,,,,,
42784,108,[],970195,en,0.6000000000000001,1980-06-01,Tissues,0,1980,,0.0,18.0,0.0,,,,,,
50584,109,[],969338,en,0.6000000000000001,1980-09-10,Come and Find Me,0,1980,,0.0,30.0,3.0,,,,,,
57084,110,[99],969267,en,0.6000000000000001,1980-12-31,The Art of Film: The Many Roles of Alec Guinness,0,1980,,0.0,20.0,7.0,,,,,,
58384,111,[99],969259,en,0.6000000000000001,1980-01-01,The Eleven Powers ( Bali ),0,1980,,0.0,48.0,,,,,,,
59684,112,[],969257,en,0.6000000000000001,1980-01-06,Skag,0,1980,,0.0,138.0,74.0,,,,,,
77884,113,[99],968110,ht,0.6000000000000001,1980-01-01,Radio Haïti-Inter: le droit à la parole,0,1980,tt19815828,0.0,14.0,,,Movie,,,,
77885,114,[],967578,ja,0.6000000000000001,1980-01-01,恋のそよ風,0,1980,,0.0,9.0,,,,,,,
79185,115,[],967576,ja,0.6000000000000001,1980-01-01,WONDER WALL,0,1980,,0.0,40.0,,,,,,,
80485,116,[],967040,en,0.6000000000000001,1980-01-01,Screen Test,0,1980,,0.0,3.0,,,,,,,
81785,117,[],967039,en,0.6000000000000001,1980-01-01,Blue Aura,0,1980,,0.0,4.0,,,,,,,
83085,118,"[18, 10770]",966987,pl,0.6000000000000001,1980-02-03,W słońcu i w deszczu,0,1980,tt0929722,0.0,352.0,,,TVSeries,,7,,
83087,119,"[18, 10770]",966964,pl,0.6000000000000001,1980-01-14,Zielona miłość,0,1980,tt0171030,0.0,264.0,,,TVSeries,,7,,
83089,120,"[12, 18]",966601,en,0.6000000000000001,1980-01-01,Mystery Island,0,1980,tt0135561,0.0,95.0,,,Movie,G,6.3,,
83091,121,"[18, 35, 12]",965915,en,0.6000000000000001,1980-10-15,Schoolboy Father,0,1980,tt0180124,0.0,45.0,27.0,,TVEpisode,,7.5,,
83117,122,[16],964314,de,0.6000000000000001,1980-07-25,Knurri,0,1980,tt19730362,0.0,10.0,1.0,,Movie,,,,
83121,123,"[18, 10770]",964002,en,0.6000000000000001,1980-12-10,"Mark, I Love You",0,1980,tt0081129,0.0,100.0,38.0,,Movie,,6.8,,
83157,124,[],963567,en,0.6000000000000001,1980-04-16,Vegetable Memory,0,1980,,0.0,15.0,,,,,,,
84457,125,[99],963441,en,0.6000000000000001,1980-01-01,Le Miroir de la terre,0,1980,,0.0,8.0,,,,,,,
85757,126,[18],963435,fr,0.804,1980-01-01,Toine,0,1980,,0.0,15.0,0.0,,,,,,
87057,127,[99],963234,en,0.6000000000000001,1980-01-01,The House-Opening,0,1980,tt7950262,0.0,42.0,,,,,,,
87058,128,[],962327,pl,0.6000000000000001,1980-02-18,Szansa,0,1980,,0.0,0.0,1.0,,,,,,
90958,129,[],961599,zh,0.6000000000000001,1980-01-01,江戸川乱歩の黄金仮面ＩＩ／桜の国の美女,0,1980,,0.0,0.0,6.0,,,,,,
96158,130,[],961397,en,0.84,1980-07-02,Look Back in Anger,0,1980,tt0081072,0.0,100.0,28.0,,Movie,Not Rated,7.6,,"Awards, 1 nomination"
96160,131,[],961355,xx,0.84,1980-01-01,Possesed by a White Shadow,0,1980,,0.0,0.0,,,,,,,
97460,132,[18],961335,it,0.654,1980-05-22,Off Season,0,1980,,0.0,105.0,2.0,,,,,,
102660,133,[10749],960741,ja,0.6000000000000001,1980-05-31,Uptown Lady: Days of Eros,1,1980,tt0288322,0.0,69.0,11.0,,Movie,,,,
102684,134,[],960610,fr,0.6000000000000001,1980-05-20,Nous nous sommes rencontrés dans un autre rêve,0,1980,tt7799422,0.0,79.0,,,,,,,
102685,135,[],960598,fr,0.6000000000000001,1980-10-15,Une femme au bout de la nuit,0,1980,tt0341631,0.0,85.0,,,Movie,,,,
102687,136,[],960474,fr,0.6000000000000001,1980-10-08,La mer couleur de larmes,0,1980,tt0284304,0.0,105.0,,,Movie,,,,
102689,137,[],960461,fr,0.6000000000000001,1980-09-17,Le dossier Plogoff,0,1980,tt12345382,0.0,50.0,,,Movie,,,,
102691,138,[],960428,fr,0.6000000000000001,1980-05-15,Le règlement intérieur,0,1980,tt0310092,0.0,92.0,,,Movie,,5.9,,
102693,139,[],960410,fr,0.6000000000000001,1980-04-16,Apparence féminine,0,1980,tt1221186,0.0,80.0,,,Movie,,,,
102695,140,[],960136,fr,0.6000000000000001,1980-02-20,Pétain's Advent,0,1980,tt5467924,0.0,115.0,,,Movie,,,,
102696,141,[],960129,fr,0.6000000000000001,1980-01-23,L'amour mensonge,0,1980,tt2388695,0.0,90.0,0.0,,Movie,,,,
102702,142,"[12, 35]",959229,en,0.6000000000000001,1980-01-01,The Masqueraders,0,1980,tt19388548,0.0,91.0,14.0,,Movie,,,,
102706,143,"[18, 10770]",959148,pl,0.6000000000000001,1980-03-03,"""Ty pójdziesz górą..."" (Eliza Orzeszkowa)",0,1980,,0.0,62.0,7.0,,,,,,
135206,144,"[35, 18, 10770]",959143,pl,0.6000000000000001,1980-01-01,Zielona ziemia,0,1980,tt0170840,0.0,57.0,,,Movie,,5.8,,
135208,145,"[18, 10770]",959133,pl,0.6000000000000001,1980-01-30,Małgorzata,0,1980,,0.0,50.0,,,,,,,
136508,146,"[99, 36, 10770]",959118,pl,0.6000000000000001,1980-06-05,Racławice. 1794,0,1980,,0.0,72.0,11.0,,,,,,
172908,147,"[18, 10770]",959026,pl,0.6000000000000001,1980-01-16,Dom,0,1980,tt0171992,0.0,998.0,,,TVSeries,,7.8,,
172910,148,"[18, 10770]",958986,pl,0.6000000000000001,1980-10-07,Zimne ognie,0,1980,,0.0,42.0,,,,,,,
174210,149,[10752],958181,pl,0.6000000000000001,1980-09-01,Dzień Wisły,0,1980,tt0101790,0.0,70.0,,,Movie,,,,
174212,150,[],955943,et,0.6000000000000001,1980-06-15,Kardemoni linna rahvas ja röövlid,0,1980,tt0972835,0.0,66.0,3.0,,Movie,,6.7,,
174242,151,[35],955402,en,0.84,1980-01-01,Sandwich,0,1980,,0.0,7.0,0.0,,,,,,
178142,152,[],955226,en,0.6000000000000001,1980-01-01,As I Said,0,1980,,0.0,7.0,,,,,,,
179442,153,[],954885,ja,0.6000000000000001,1980-01-01,Desire for No Tomorrow,0,1980,,0.0,46.0,0.0,,,,,,
182042,154,[99],954558,en,0.6000000000000001,1980-07-04,The Great American Hobo,0,1980,tt5066466,0.0,30.0,,,Movie,Not Rated,,,
182043,155,[27],954177,en,0.6000000000000001,1980-11-27,Possessions,0,1980,,0.0,27.0,,,,,,,
183343,156,[16],953826,en,0.6000000000000001,1980-07-09,One Way Street,0,1980,tt0226248,0.0,12.0,,,Movie,,6,,"Awards, 1 win"
183345,157,[16],953823,en,0.6000000000000001,1980-06-04,Making a Point,0,1980,,0.0,6.0,,,,,,,
184645,158,[16],953758,en,0.6000000000000001,1980-02-06,Death in the Spring,0,1980,tt0303895,0.0,3.0,,,Movie,,,,
184647,159,[18],953727,es,0.6000000000000001,1980-01-01,Yo qué sé,0,1980,tt0425658,0.0,12.0,5.0,,Movie,,,,
184657,160,[18],953440,id,0.6000000000000001,1980-01-01,Dream Dress,0,1980,,0.0,121.0,3.0,,,,,,
189857,161,[16],952894,en,0.6000000000000001,1980-07-09,Pastoral,0,1980,tt0290804,0.0,10.0,,,Movie,,,,"Awards, 2 nominations"
189859,162,[16],952881,en,0.6000000000000001,1980-01-01,The Rain of Paris,0,1980,tt11761298,0.0,10.0,1.0,,Movie,,6.8,,
189861,163,[99],952571,ru,0.6000000000000001,1980-03-01,Grinder,0,1980,,0.0,0.0,,,,,,,
191161,164,[16],951238,vi,0.6000000000000001,1980-06-01,Cỗ Máy Bên Đường,0,1980,,0.0,9.0,,,,,,,
192461,165,[99],950962,en,0.6000000000000001,1980-12-31,Mondrian in New York,0,1980,,0.0,44.0,,,,,,,
193761,166,[],950544,en,0.6000000000000001,1980-01-01,Resolution of the Eye,0,1980,,0.0,40.0,,,,,,,
195061,167,[],950373,en,0.6000000000000001,1980-01-01,Garage Sale II,0,1980,,0.0,0.0,,0.0,,,,,
197661,168,[],949989,en,0.6000000000000001,1980-02-21,Yagam,0,1980,tt0310366,0.0,111.0,3.0,,Movie,,,,
197675,169,[],949988,kn,0.6000000000000001,1980-07-18,Mooru Darigalu,0,1980,tt0232124,0.0,0.0,,,Movie,,,,
197677,170,[35],949333,pl,1.09,1980-09-24,Mała sprawa,0,1980,tt0476804,0.0,42.0,3.0,,Movie,,7.1,,
197717,171,[],949052,it,0.6000000000000001,1980-01-01,Barbagie oltre il mare,0,1980,,0.0,0.0,,,,,,,
199017,172,"[18, 10749]",948917,zh,0.6000000000000001,1980-08-08,不是为了爱情,0,1980,,0.0,0.0,1.0,,,,,,
202917,173,[18],948894,zh,0.6000000000000001,1980-08-08,玉色蝴蝶,0,1980,,0.0,0.0,1.0,,,,,,
209417,174,[],948806,ar,0.6000000000000001,1980-01-01,The Trap,0,1980,tt0259682,0.0,0.0,1.0,,Movie,,,,
209419,175,[],948614,zh,0.6000000000000001,1980-08-08,真是烦死人,0,1980,,0.0,0.0,0.0,,,,,,
210719,176,[],948346,en,0.6000000000000001,1980-01-01,Ofensiva,0,1980,,0.0,32.0,,,,,,,
212019,177,[],948239,en,0.6000000000000001,1980-01-01,Wake Dream,0,1980,,0.0,8.0,,,,,,,
213319,178,[],947669,en,0.6000000000000001,1980-01-01,Blues,0,1980,,0.0,9.0,,,,,,,
